valuetime,wind,solar,load,flow
2020-10-31 23:00:00,2980.510009765625,0.0,1905.1199951171875,1300.0
2020-11-01 00:00:00,2637.489990234375,0.0,1821.6600341796875,1300.0
2020-11-01 01:00:00,2222.360107421875,0.0,1768.1500244140625,1300.0
2020-11-01 02:00:00,1707.699951171875,0.0,1746.760009765625,1300.0
2020-11-01 03:00:00,1363.3299560546875,0.0,1747.8199462890625,1300.0
2020-11-01 04:00:00,1279.5899658203125,0.0,1759.969970703125,1300.0
2020-11-01 05:00:00,1371.780029296875,0.0,1856.7900390625,1300.0
2020-11-01 06:00:00,1503.8499755859375,0.2800000011920929,2045.719970703125,1300.0
2020-11-01 07:00:00,1594.1400146484375,7.28000020980835,2230.35009765625,1300.0
2020-11-01 08:00:00,1733.3199462890625,31.459999084472656,2348.860107421875,1300.0
2020-11-01 09:00:00,1921.7099609375,61.380001068115234,2411.10009765625,1300.0
2020-11-01 10:00:00,2123.81005859375,79.27999877929688,2431.050048828125,1300.0
2020-11-01 11:00:00,2316.949951171875,81.52999877929688,2427.639892578125,1300.0
2020-11-01 12:00:00,2438.580078125,67.76000213623047,2414.72998046875,1300.0
2020-11-01 13:00:00,2608.389892578125,46.36000061035156,2405.5,1300.0
2020-11-01 14:00:00,2753.360107421875,18.979999542236328,2441.199951171875,1300.0
2020-11-01 15:00:00,2913.0,3.799999952316284,2485.72998046875,1300.0
2020-11-01 16:00:00,3091.669921875,0.0,2774.6298828125,1300.0
2020-11-01 17:00:00,3131.840087890625,0.0,2826.35009765625,1300.0
2020-11-01 18:00:00,3100.97998046875,0.0,2646.919921875,1300.0
2020-11-01 19:00:00,3036.530029296875,0.0,2481.52001953125,1300.0
2020-11-01 20:00:00,2898.14990234375,0.0,2350.85009765625,1300.0
2020-11-01 21:00:00,2709.18994140625,0.0,2229.35009765625,1300.0
2020-11-01 22:00:00,2579.52001953125,0.0,2068.510009765625,1300.0
2020-11-01 23:00:00,2705.830078125,0.0,1981.4100341796875,1300.0
2020-11-02 00:00:00,3142.780029296875,0.0,1962.1400146484375,1300.0
2020-11-02 01:00:00,3367.1298828125,0.0,1962.75,1300.0
2020-11-02 02:00:00,3530.9599609375,0.0,1970.0,1300.0
2020-11-02 03:00:00,3590.719970703125,0.0,1991.3900146484375,1300.0
2020-11-02 04:00:00,3609.090087890625,0.0,2081.35009765625,1300.0
2020-11-02 05:00:00,3627.989990234375,0.0,2383.669921875,1300.0
2020-11-02 06:00:00,3641.35009765625,0.1599999964237213,2836.510009765625,1300.0
2020-11-02 07:00:00,3651.0,2.7799999713897705,3065.47998046875,1300.0
2020-11-02 08:00:00,3675.699951171875,9.029999732971191,3107.719970703125,1300.0
2020-11-02 09:00:00,3692.889892578125,21.420000076293945,3149.25,1300.0
2020-11-02 10:00:00,3677.949951171875,34.7599983215332,3166.360107421875,1300.0
2020-11-02 11:00:00,3652.25,42.84000015258789,3125.6201171875,1300.0
2020-11-02 12:00:00,3588.580078125,44.220001220703125,3108.989990234375,1300.0
2020-11-02 13:00:00,3516.429931640625,37.619998931884766,3068.52001953125,1300.0
2020-11-02 14:00:00,3426.0400390625,21.739999771118164,2996.409912109375,1300.0
2020-11-02 15:00:00,3358.239990234375,6.21999979019165,2959.159912109375,1300.0
2020-11-02 16:00:00,3284.340087890625,0.0,3177.429931640625,1300.0
2020-11-02 17:00:00,3278.139892578125,0.0,3179.6201171875,1300.0
2020-11-02 18:00:00,3279.320068359375,0.0,2979.60009765625,1300.0
2020-11-02 19:00:00,3251.719970703125,0.0,2785.9599609375,1300.0
2020-11-02 20:00:00,3225.590087890625,0.0,2621.3701171875,1300.0
2020-11-02 21:00:00,3153.429931640625,0.0,2446.929931640625,1300.0
2020-11-02 22:00:00,3011.530029296875,0.0,2251.429931640625,1300.0
2020-11-02 23:00:00,2875.5,0.0,2090.800048828125,1300.0
2020-11-03 00:00:00,2865.25,0.0,2022.3399658203125,1300.0
2020-11-03 01:00:00,2849.3701171875,0.0,2004.9100341796875,1300.0
2020-11-03 02:00:00,2887.5,0.0,2001.6300048828125,1300.0
2020-11-03 03:00:00,2869.489990234375,0.0,2019.3900146484375,1300.0
2020-11-03 04:00:00,2840.080078125,0.0,2112.2099609375,1300.0
2020-11-03 05:00:00,2847.639892578125,0.0,2422.139892578125,1300.0
2020-11-03 06:00:00,2824.679931640625,0.20999999344348907,2881.050048828125,1300.0
2020-11-03 07:00:00,2808.360107421875,11.539999961853027,3091.080078125,1300.0
2020-11-03 08:00:00,2778.1201171875,66.22000122070312,3088.340087890625,1300.0
2020-11-03 09:00:00,2768.300048828125,132.22999572753906,3103.780029296875,1300.0
2020-11-03 10:00:00,2781.10009765625,179.8300018310547,3103.080078125,1300.0
2020-11-03 11:00:00,2817.199951171875,197.10000610351562,3044.080078125,1300.0
2020-11-03 12:00:00,2762.840087890625,184.2100067138672,3026.639892578125,1300.0
2020-11-03 13:00:00,2575.25,145.7100067138672,2992.3701171875,1380.0
2020-11-03 14:00:00,2313.929931640625,82.05000305175781,2917.429931640625,1640.0
2020-11-03 15:00:00,1998.6700439453125,19.559999465942383,2906.1201171875,1650.0
2020-11-03 16:00:00,1759.18994140625,0.0,3180.340087890625,1620.0
2020-11-03 17:00:00,1619.530029296875,0.0,3222.0,1300.0
2020-11-03 18:00:00,1604.8299560546875,0.0,3019.1298828125,1380.0
2020-11-03 19:00:00,1624.5899658203125,0.0,2819.080078125,1300.0
2020-11-03 20:00:00,1595.6099853515625,0.0,2652.60009765625,1300.0
2020-11-03 21:00:00,1625.72998046875,0.0,2477.030029296875,1300.0
2020-11-03 22:00:00,1627.9100341796875,0.0,2290.1298828125,1300.0
2020-11-03 23:00:00,1592.050048828125,0.0,2136.699951171875,1300.0
2020-11-04 00:00:00,1972.1600341796875,0.0,2032.68994140625,1300.0
2020-11-04 01:00:00,2058.929931640625,0.0,1999.0,1300.0
